target_year,target,horizon,method,error_method,source,score
2016,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.693267720457731
2017,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.435819680493087
2018,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.419867944630679
2019,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.428059234310054
2020,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.785765444511013
2021,pcpi_pch,1,rolling window,absolute,ar_annual-direct,0.784015448585456
2022,pcpi_pch,1,rolling window,absolute,ar_annual-direct,4.93318034259446
2023,pcpi_pch,1,rolling window,absolute,ar_annual-direct,2.39599684575039
2014,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.08753108894524
2015,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,1.09810920921168
2016,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.69335907221096
2017,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.435833230334331
2018,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.420452806274382
2019,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.428084311628026
2020,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.785763793373849
2021,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,0.784015448585456
2022,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,4.93318034259446
2023,pcpi_pch,1.5,rolling window,absolute,ar_annual-direct,2.39599684575039
2013,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0808107048858543
2014,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0714685544281239
2015,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0776618126741872
2016,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0688860919110358
2017,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0700238895052711
2018,ngdp_rpch,0,rolling window,absolute,ar_bic,0.0784946633985543
2019,ngdp_rpch,0,rolling window,absolute,ar_bic,0.183287618990289
2020,ngdp_rpch,0,rolling window,absolute,ar_bic,0.658949567098883
2021,ngdp_rpch,0,rolling window,absolute,ar_bic,0.13520975087669
2022,ngdp_rpch,0,rolling window,absolute,ar_bic,0.112320346155051
2023,ngdp_rpch,0,rolling window,absolute,ar_bic,0.106634672133847
2013,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.323682010856619
2014,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.48746815359474
2015,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.389600803316703
2016,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.394270585098296
2017,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.335005277632759
2018,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.344814642702221
2019,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.336109076389757
2020,ngdp_rpch,0.5,rolling window,absolute,ar_bic,2.4952118169981
2021,ngdp_rpch,0.5,rolling window,absolute,ar_bic,1.68532811733417
2022,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.391323762899256
2023,ngdp_rpch,0.5,rolling window,absolute,ar_bic,0.52832264181863
2013,ngdp_rpch,1,rolling window,absolute,ar_bic,0.783655598194829
2014,ngdp_rpch,1,rolling window,absolute,ar_bic,0.909883647944832
2015,ngdp_rpch,1,rolling window,absolute,ar_bic,0.93597718769993
2016,ngdp_rpch,1,rolling window,absolute,ar_bic,0.803967401677838
2017,ngdp_rpch,1,rolling window,absolute,ar_bic,0.707649976821209
2018,ngdp_rpch,1,rolling window,absolute,ar_bic,0.816339671864516
2019,ngdp_rpch,1,rolling window,absolute,ar_bic,0.712753398871839
2020,ngdp_rpch,1,rolling window,absolute,ar_bic,6.73909012364489
